City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
227,wajir,1.7471,40.0573,296.39,79,14,5.28,KE,1675914420
228,geraldton,-28.7667,114.6,303.38,45,0,6.69,AU,1675914421
229,galesong,-5.3166,119.3661,301.16,76,99,2.01,ID,1675914421
230,saint-louis,16.3333,-15.0,293.95,16,100,4.58,SN,1675914422
231,jacqueville,5.2052,-4.4146,299.15,89,73,2.8,CI,1675914423
232,bathsheba,13.2167,-59.5167,298.49,78,40,8.75,BB,1675914423
233,ponta do sol,32.6667,-17.1,287.99,75,44,3.04,PT,1675914424
234,karratha,-20.7377,116.8463,307.84,46,0,5.38,AU,1675914425
235,vila franca do campo,37.7167,-25.4333,285.38,73,96,3.91,PT,1675914425
236,berlin,52.5244,13.4105,270.57,79,0,4.12,DE,1675914304
237,mitsamiouli,-11.3847,43.2844,300.38,79,90,3.81,KM,1675914426
238,kargasok,59.0556,80.8572,252.37,96,93,3.23,RU,1675914427
239,pangnirtung,66.1451,-65.7125,243.08,72,18,2.93,CA,1675914428
240,umm kaddadah,13.6017,26.6876,286.48,19,89,6.61,SD,1675914428
241,svetlogorsk,52.6333,29.7333,265.26,95,97,2.58,BY,1675914429
242,caravelas,-17.7125,-39.2481,297.12,87,41,2.33,BR,1675914430
243,kijang,35.2442,129.2139,285.0,52,86,6.26,KR,1675914430
244,vanavara,60.34,102.2797,259.85,93,100,1.92,RU,1675914431
245,zhenjiang,32.2092,119.4342,279.71,92,100,0.89,CN,1675914431
246,palas,-5.6519,105.6801,302.83,61,91,1.36,ID,1675914432
247,coahuayana,18.7333,-103.6833,294.49,91,3,1.35,MX,1675914432
248,douglas,41.3,-96.167,278.59,58,40,2.06,US,1675914433
249,bredasdorp,-34.5322,20.0403,291.21,83,1,3.91,ZA,1675914434
250,nizhniy tsasuchey,50.5167,115.1333,257.07,85,100,1.4,RU,1675914434
251,isangel,-19.55,169.2667,300.21,89,100,4.12,VU,1675914435
252,ambon,-3.6954,128.1814,303.23,70,40,3.09,ID,1675914436
253,bethel,41.3712,-73.414,277.81,61,0,2.57,US,1675914436
254,alofi,-19.0595,-169.9187,303.09,70,75,3.6,NU,1675914437
255,ilulissat,69.2167,-51.1,251.16,64,20,2.06,GL,1675914438
256,berlevag,70.8578,29.0864,276.12,70,100,17.49,NO,1675914438
257,waddan,29.1614,16.139,284.27,43,0,4.72,LY,1675914439
258,gubkinskiy,64.434,76.5026,257.57,95,91,7.9,RU,1675914439
259,mulanay,13.5222,122.4042,301.6,59,98,4.48,PH,1675914440
260,ardabil,38.2498,48.2933,268.68,89,100,4.41,IR,1675914441
261,charters towers,-20.1,146.2667,303.9,49,84,6.3,AU,1675914442
262,vieira de leiria,39.8695,-8.9324,284.53,76,49,6.18,PT,1675914442
263,qaqortoq,60.7167,-46.0333,268.48,89,100,4.25,GL,1675914443
264,klyuchi,52.2667,79.1667,252.72,100,97,1.75,RU,1675914360
265,tacoronte,28.4769,-16.4102,288.6,78,100,3.6,ES,1675914443
266,sooke,48.3746,-123.7276,280.69,88,100,2.02,CA,1675914444
267,tamandare,-8.7597,-35.1047,298.33,81,89,2.18,BR,1675914445
268,matagami,49.7502,-77.6328,255.21,85,0,0.0,CA,1675914446
269,ixtapa,20.7,-105.2,294.72,78,0,2.06,MX,1675914446
270,merauke,-8.4667,140.3333,300.91,83,83,5.74,ID,1675914447
271,bandarbeyla,9.4942,50.8122,297.87,71,61,4.73,SO,1675914222
272,ayan,56.45,138.1667,249.35,59,61,1.36,RU,1675914448
273,puerto madryn,-42.7692,-65.0385,295.14,52,55,10.95,AR,1675914448
274,woodward,36.4337,-99.3904,273.72,64,0,3.6,US,1675914449
275,tarbagatay,51.4803,107.3602,249.89,91,99,1.51,RU,1675914450
276,sao francisco,-15.9486,-44.8644,298.12,67,81,1.66,BR,1675914450
277,skibbereen,51.55,-9.2667,277.71,85,12,2.14,IE,1675914451
278,sao felix do xingu,-6.6447,-51.995,294.77,97,68,0.04,BR,1675914451
279,amga,60.8953,131.9608,241.55,92,94,0.39,RU,1675914452
280,amahai,-3.3333,128.9167,299.4,83,100,2.2,ID,1675914453
281,price,39.5994,-110.8107,273.77,68,40,11.32,US,1675914453
282,ancud,-41.8697,-73.8203,287.41,97,11,2.96,CL,1675914454
283,okhotsk,59.3833,143.3,248.04,80,20,6.18,RU,1675914455
284,saskylakh,71.9167,114.0833,231.78,98,54,3.04,RU,1675914455
285,yeppoon,-23.1333,150.7333,303.03,61,92,10.31,AU,1675914456
286,harper,4.375,-7.7169,298.08,88,90,0.45,LR,1675914456
287,aswan,24.0934,32.907,282.76,53,0,3.09,EG,1675914457
288,vao,-22.6667,167.4833,299.31,81,100,6.2,NC,1675914457
289,kavieng,-2.5744,150.7967,301.74,71,100,2.75,PG,1675914457
290,matara,5.9485,80.5353,301.32,65,33,1.61,LK,1675914403
291,vagur,61.4732,-6.8119,275.8,72,90,20.01,FO,1675914458
292,qui nhon,13.7667,109.2333,298.98,77,100,2.03,VN,1675914181
293,rognan,67.0953,15.3878,274.29,95,100,3.08,NO,1675914459
294,birao,10.2849,22.7882,289.9,12,34,3.74,CF,1675914460
295,haines junction,60.7522,-137.5108,266.12,68,60,2.57,CA,1675914351
296,new waterford,40.8451,-80.6145,279.29,79,100,2.23,US,1675914460
297,sao mateus,-18.7161,-39.8589,296.78,88,100,2.44,BR,1675914461
298,manokwari,-0.8667,134.0833,298.34,83,100,0.26,ID,1675914461
299,husavik,66.0449,-17.3389,268.05,93,52,7.62,IS,1675914462
